x_m,y_m,vx_mps
9.853041,2.693545,2.0
9.331401,2.551279,2.0
8.809761,2.414283,2.0
8.288121,2.272017,2.0
7.766481,2.129752,2.0
7.244841,1.992755,2.0
6.723201,1.850490,2.0
6.201561,1.713494,2.0
5.679921,1.571228,2.0
5.158281,1.428963,2.0
4.636641,1.291966,2.0
4.115001,1.149701,2.0
3.593361,1.012705,2.0
3.071721,0.870439,2.0
2.550081,0.733443,2.0
2.028441,0.617523,2.0
1.506801,0.443643,2.0
0.985161,0.327723,2.0
0.463521,0.153843,2.0
